"trait","meanImp","medianImp","minImp","maxImp","normHits","decision"
"top.geometry.fluo.branchpoint.count.21",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.border.length..px..21",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.circumcircle.d..px..21",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.centroid.y..px..21",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.centroid.x..px..21",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.area..px..21",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.compactness.16.21",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.circularity.21",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.length.21",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.fillgrade.....21",0,0,0,0,0,"Rejected"
"top.geometry.fluo.compactness.16.21",0,0,0,0,0,"Rejected"
"top.geometry.fluo.area..px.2..21",0.067474319214372,0,0,1.41696070350181,0.00066711140760507,"Rejected"
"top.geometry.fluo.leaf.length.mean..px..21",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.curvature.avg.21",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.count.21",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.points.21",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.width.mean..px..21",0,0,0,0,0,"Rejected"
"top.geometry.fluo.minrectangle.length.b..px..21",0,0,0,0,0,"Rejected"
"top.geometry.fluo.minrectangle.length.a..px..21",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.pc2..px..21",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.pc1..px..21",0,0,0,0,0,"Rejected"
"top.geometry.vis.leaftip.count..leaftips..21",0,0,0,0,0,"Rejected"
"top.intensity.fluo.lab.b.mean.21",0,0,0,0,0,"Rejected"
"top.intensity.fluo.lab.a.mean.21",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.fluo.lab.l.mean.21",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.hsv.h.brown2green.21",0.0476667382144944,0,0,1.00100150250438,0.00066711140760507,"Rejected"
"top.intensity.nir.mean.21",0.162759916929731,0,0,1.41595525051558,0.00066711140760507,"Rejected"
"top.intensity.vis.hsv.h.red2green.21",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.s.mean.21",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.h.yellow2green.21",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.h.mean.21",0,0,0,0,0,"Rejected"
