"trait","meanImp","medianImp","minImp","maxImp","normHits","decision"
"top.geometry.fluo.branchpoint.count.20",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.border.length..px..20",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.circumcircle.d..px..20",0.250250375626096,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.centroid.y..px..20",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.centroid.x..px..20",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.area..px..20",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.compactness.16.20",0.31281296953262,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.circularity.20",0.250250375626096,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.length.20",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.fillgrade.....20",0.0625625939065239,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.compactness.16.20",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.area..px.2..20",0.210073808648902,0,0,1.1984716654649,0.00066711140760507,"Rejected"
"top.geometry.fluo.leaf.length.mean..px..20",0.0625625939065239,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.curvature.avg.20",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.count.20",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.points.20",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.width.mean..px..20",-0.0625625939065239,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.minrectangle.length.b..px..20",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.minrectangle.length.a..px..20",0.0848468312113269,0,0,1.35754929938123,0,"Rejected"
"top.geometry.fluo.hull.pc2..px..20",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.pc1..px..20",0,0,0,0,0,"Rejected"
"top.geometry.vis.leaftip.count..leaftips..20",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.fluo.lab.b.mean.20",0,0,0,0,0,"Rejected"
"top.intensity.fluo.lab.a.mean.20",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.fluo.lab.l.mean.20",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.h.brown2green.20",-1.38777878078145e-17,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.nir.mean.20",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.hsv.h.red2green.20",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.s.mean.20",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.hsv.h.yellow2green.20",0,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.vis.hsv.h.mean.20",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.intensity.mean.20",-0.187687781719572,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.lab.a.mean.20",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.hsv.v.mean.20",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
